distance_m,sample_index,timestamp_ms,rssi_raw_dbm,rssi_filt_dbm,dist_est_m
6.0,43,2202528,-88,-86.9,22.1
6.0,44,2203528,-84,-86.4,21.0
6.0,45,2204528,-95,-87.7,24.3
6.0,46,2205528,-92,-88.4,26.2
6.0,47,2206528,-92,-88.9,27.9
6.0,48,2207528,-91,-89.2,28.9
6.0,49,2208528,-85,-88.6,26.9
6.0,50,2209528,-86,-88.2,25.7
7.5,1,2257528,-85,-85.3,18.4
7.5,2,2258528,-84,-85.1,18.0
7.5,3,2259528,-82,-84.7,17.1
7.5,4,2260528,-90,-85.5,18.7
7.5,5,2261528,-90,-86.1,20.3
7.5,6,2262528,-89,-86.6,21.3
7.5,7,2263528,-83,-86.0,20.0
7.5,8,2264528,-86,-86.0,20.0
7.5,9,2265528,-91,-86.8,21.8
7.5,10,2266528,-91,-87.4,23.5
7.5,11,2267528,-88,-87.5,23.7
7.5,12,2268528,-82,-86.7,21.6
7.5,13,2269528,-88,-86.9,22.1
7.5,14,2270548,-87,-86.9,22.1
7.5,15,2271548,-88,-87.1,22.5
7.5,16,2272548,-85,-86.7,21.7
7.5,17,2273548,-85,-86.5,21.1
7.5,18,2274548,-96,-87.9,24.9
7.5,19,2275548,-96,-89.1,28.6
7.5,20,2276548,-92,-89.6,30.1
7.5,21,2277548,-83,-88.6,26.8
7.5,22,2278548,-83,-87.7,24.4
7.5,23,2279548,-82,-86.9,22.1
7.5,24,2280548,-82,-86.1,20.3
7.5,25,2281548,-86,-86.1,20.2
7.5,26,2282548,-84,-85.8,19.5
7.5,27,2283548,-92,-86.7,21.7
7.5,28,2284548,-87,-86.8,21.8
7.5,29,2285548,-90,-87.3,23.1
7.5,30,2286548,-83,-86.6,21.4
7.5,31,2287548,-84,-86.2,20.5
7.5,32,2288548,-87,-86.3,20.8
7.5,33,2289548,-85,-86.1,20.3
7.5,34,2290548,-98,-87.9,24.9
7.5,35,2291548,-85,-87.5,23.7
7.5,36,2292548,-85,-87.1,22.7
7.5,37,2293548,-82,-86.3,20.8
7.5,38,2294548,-82,-85.7,19.3
7.5,39,2295548,-87,-85.9,19.7
7.5,40,2296548,-84,-85.6,19.1
7.5,41,2297548,-87,-85.8,19.5
7.5,42,2298548,-84,-85.5,18.9
7.5,43,2299548,-88,-85.9,19.7
7.5,44,2300548,-91,-86.7,21.6
7.5,45,2301548,-86,-86.6,21.3
7.5,46,2302548,-87,-86.6,21.5
7.5,47,2303548,-85,-86.4,20.9
7.5,48,2304548,-85,-86.2,20.4
7.5,49,2305548,-96,-87.7,24.1
7.5,50,2306548,-89,-87.9,24.7
9.0,1,2393568,-86,-88.4,26.2
9.0,2,2394568,-85,-87.9,24.7
9.0,3,2395568,-85,-87.4,23.5
9.0,4,2396568,-81,-86.5,21.1
9.0,5,2397568,-87,-86.5,21.3
9.0,6,2398568,-100,-88.6,26.8
9.0,7,2399568,-85,-88.0,25.2
9.0,8,2400568,-85,-87.6,23.9
9.0,9,2401568,-94,-88.5,26.7
9.0,10,2402568,-90,-88.8,27.4
9.0,11,2403568,-90,-88.9,28.0
9.0,12,2404568,-93,-89.6,30.0
9.0,13,2405568,-93,-90.1,31.9
9.0,14,2406568,-97,-91.1,35.9
9.0,15,2407568,-97,-92.0,39.8
9.0,16,2408568,-92,-92.0,39.8
9.0,17,2409568,-89,-91.5,37.8
9.0,18,2410568,-86,-90.7,34.3
9.0,19,2411568,-86,-90.0,31.6
9.0,20,2412568,-93,-90.5,33.3
9.0,21,2413568,-86,-89.8,30.9
9.0,22,2414568,-84,-88.9,27.9
9.0,23,2415568,-95,-89.8,31.0
9.0,24,2416568,-89,-89.7,30.6
9.0,25,2417568,-89,-89.6,30.2
9.0,26,2418568,-90,-89.7,30.4
9.0,27,2419568,-90,-89.7,30.6
9.0,28,2420568,-92,-90.1,31.8
9.0,29,2421568,-102,-91.8,39.1
9.0,30,2422568,-102,-93.4,46.6
9.0,31,2423568,-84,-92.0,39.6
9.0,32,2424568,-90,-91.7,38.3
9.0,33,2425568,-92,-91.7,38.5
9.0,34,2426568,-92,-91.8,38.7
9.0,35,2427568,-90,-91.5,37.6
